Id,LotFrontage,LotArea,LotShape,Neighborhood,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,OpenPorchSF,SalePrice
421,78.0,7060,Reg,Mitchel,SFoyer,7,5,1997,1998,VinylSd,VinylSd,2,PConc,3.0,Gd,GLQ,1309.0,35.0,1344.0,5,1344,1344,2.0,2,0,2,2.0,8,0,,Attchd,1997.0,3.0,4.0,784.0,0,206300.0
422,,16635,IR1,NWAmes,1Story,6,7,1977,2000,CemntBd,CmentBd,3,CBlock,3.0,No,ALQ,1246.0,356.0,1602.0,4,1602,1602,0.0,2,0,3,3.0,8,1,3.0,Attchd,1977.0,3.0,2.0,529.0,0,215000.0
423,100.0,21750,Reg,Mitchel,1Story,5,5,1954,1954,HdBoard,HdBoard,2,CBlock,2.0,No,Unf,0.0,988.0,988.0,5,988,988,0.0,1,0,2,2.0,4,0,,Attchd,1954.0,2.0,2.0,520.0,0,113000.0
424,80.0,9200,Reg,NoRidge,2Story,8,5,1998,1998,VinylSd,VinylSd,3,PConc,3.0,No,GLQ,986.0,484.0,1470.0,4,1470,2630,1.0,2,1,4,3.0,8,1,3.0,Attchd,1998.0,3.0,3.0,696.0,66,315000.0
425,72.0,9000,Reg,NAmes,1Story,6,5,1956,1956,Wd Sdng,Wd Sdng,2,CBlock,3.0,No,LwQ,616.0,580.0,1196.0,4,1196,1196,1.0,1,0,2,2.0,6,1,4.0,Attchd,1956.0,2.0,1.0,297.0,44,139000.0
426,60.0,3378,Reg,OldTown,2Story,7,8,1946,1992,HdBoard,HdBoard,2,CBlock,2.0,No,Unf,0.0,651.0,651.0,4,707,1389,0.0,1,1,3,2.0,6,2,4.0,Detchd,1947.0,1.0,1.0,240.0,0,135000.0
427,,12800,Reg,SawyerW,SLvl,7,5,1989,1989,Wd Sdng,Wd Sdng,3,PConc,3.0,Gd,GLQ,1518.0,0.0,1518.0,4,1644,1644,1.0,2,0,2,3.0,5,1,3.0,Attchd,1989.0,3.0,2.0,569.0,0,275000.0
428,77.0,8593,IR1,NAmes,1Story,4,6,1957,1957,MetalSd,MetalSd,2,CBlock,2.0,No,Rec,288.0,619.0,907.0,5,907,907,0.0,1,0,3,2.0,5,0,,Detchd,1964.0,1.0,1.0,352.0,0,109008.0
429,64.0,6762,Reg,CollgCr,1Story,7,5,2007,2007,VinylSd,VinylSd,3,PConc,3.0,No,GLQ,664.0,544.0,1208.0,5,1208,1208,1.0,2,0,2,3.0,6,0,,Attchd,2007.0,2.0,2.0,628.0,54,195400.0
430,130.0,11457,IR1,Timber,1Story,6,5,1988,1988,HdBoard,HdBoard,2,CBlock,3.0,Mn,GLQ,1005.0,387.0,1392.0,3,1412,1412,1.0,2,0,3,3.0,6,1,3.0,Attchd,1988.0,1.0,2.0,576.0,0,175000.0
431,21.0,1680,Reg,BrDale,2Story,6,5,1971,1971,HdBoard,HdBoard,2,CBlock,2.0,No,ALQ,387.0,96.0,483.0,3,483,987,0.0,1,1,2,2.0,4,0,,Detchd,1971.0,1.0,1.0,264.0,0,85400.0
432,60.0,5586,IR1,OldTown,1.5Fin,6,7,1920,1998,MetalSd,MetalSd,2,BrkTil,2.0,No,Unf,0.0,901.0,901.0,4,1088,1198,0.0,1,0,4,2.0,7,0,,,,,0.0,0.0,98,79900.0
433,24.0,1920,Reg,BrDale,2Story,5,5,1971,1971,HdBoard,HdBoard,2,CBlock,2.0,No,ALQ,471.0,294.0,765.0,5,765,1365,1.0,1,1,2,2.0,6,0,,Detchd,1971.0,1.0,2.0,440.0,36,122500.0
434,100.0,10839,IR1,Gilbert,2Story,6,5,1997,1998,VinylSd,VinylSd,2,PConc,3.0,No,Unf,0.0,926.0,926.0,5,926,1604,0.0,2,1,3,2.0,7,1,3.0,Attchd,1997.0,3.0,2.0,470.0,36,181000.0
435,21.0,1890,Reg,MeadowV,SFoyer,4,7,1972,1972,CemntBd,CmentBd,2,CBlock,3.0,Av,ALQ,495.0,135.0,630.0,4,630,630,1.0,1,0,1,2.0,3,0,,,,,0.0,0.0,0,81000.0
436,43.0,10667,IR2,CollgCr,2Story,7,6,1996,1996,VinylSd,VinylSd,3,PConc,3.0,Av,GLQ,385.0,70.0,799.0,5,827,1661,1.0,2,1,3,3.0,6,1,3.0,Attchd,1996.0,2.0,2.0,550.0,61,212000.0
437,40.0,4400,Reg,OldTown,1.5Fin,6,8,1920,1950,Stucco,Stucco,2,BrkTil,1.0,No,Unf,0.0,648.0,648.0,3,734,1118,0.0,1,0,2,2.0,6,0,,Detchd,1990.0,1.0,2.0,440.0,0,116000.0
438,50.0,6000,Reg,BrkSide,1.5Unf,6,7,1926,2004,Wd Sdng,Wd Sdng,3,PConc,2.0,No,Unf,0.0,884.0,884.0,4,904,904,0.0,1,0,2,2.0,4,0,,Detchd,1926.0,1.0,1.0,180.0,0,119000.0
439,40.0,4280,Reg,Crawfor,1Story,5,6,1913,2002,WdShing,Stucco,2,PConc,2.0,No,LwQ,365.0,75.0,440.0,3,694,694,0.0,1,0,2,3.0,4,1,4.0,Detchd,1990.0,1.0,1.0,352.0,0,90350.0
440,67.0,12354,Reg,Edwards,1.5Fin,6,8,1920,2000,Wd Sdng,Wd Sdng,2,BrkTil,2.0,Mn,Unf,0.0,684.0,684.0,4,684,1196,0.0,1,0,3,3.0,7,0,,Detchd,2005.0,1.0,2.0,528.0,46,110000.0
441,105.0,15431,Reg,NridgHt,1Story,10,5,2008,2008,VinylSd,VinylSd,4,PConc,4.0,Gd,GLQ,1767.0,788.0,3094.0,5,2402,2402,1.0,2,0,2,4.0,10,2,4.0,Attchd,2008.0,3.0,3.0,672.0,72,555000.0
442,92.0,12108,Reg,Edwards,1Story,4,4,1955,1955,VinylSd,VinylSd,2,CBlock,2.0,No,ALQ,133.0,1307.0,1440.0,3,1440,1440,0.0,2,0,4,1.0,8,0,,,,,0.0,0.0,0,118000.0
443,52.0,6240,Reg,BrkSide,1.5Fin,5,7,1930,1992,MetalSd,MetalSd,2,PConc,2.0,No,Unf,0.0,1078.0,1078.0,3,1128,1573,0.0,2,0,3,2.0,8,1,4.0,Detchd,1930.0,1.0,2.0,360.0,0,162900.0
444,53.0,3922,Reg,Blmngtn,1Story,7,5,2006,2007,WdShing,Wd Shng,3,PConc,4.0,Av,Unf,0.0,1258.0,1258.0,5,1258,1258,0.0,2,0,2,3.0,6,1,4.0,Attchd,2007.0,3.0,3.0,648.0,16,172500.0
445,70.0,8750,Reg,CollgCr,2Story,7,5,1994,1995,VinylSd,VinylSd,3,PConc,3.0,No,GLQ,642.0,273.0,915.0,5,933,1908,1.0,2,1,4,3.0,8,1,3.0,Attchd,1994.0,1.0,2.0,493.0,133,210000.0
446,73.0,9855,Reg,Edwards,1Story,6,5,1956,1956,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,Unf,0.0,1436.0,1436.0,2,1689,1689,0.0,1,0,3,2.0,7,1,4.0,Attchd,1956.0,1.0,2.0,480.0,0,127500.0
447,137.0,16492,IR1,NAmes,1Story,6,6,1966,2002,BrkFace,Plywood,3,CBlock,2.0,No,ALQ,247.0,557.0,1517.0,5,1888,1888,0.0,2,1,2,3.0,6,1,4.0,Attchd,1966.0,3.0,2.0,578.0,0,190000.0
448,,11214,IR1,Gilbert,2Story,7,5,1998,1999,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,930.0,930.0,4,956,1886,0.0,2,1,4,3.0,10,1,3.0,Attchd,1998.0,3.0,2.0,431.0,0,199900.0
449,50.0,8600,Reg,IDOTRR,1.5Fin,6,6,1937,1950,MetalSd,MetalSd,2,BrkTil,2.0,No,Unf,0.0,780.0,780.0,3,780,1376,0.0,2,0,3,2.0,7,1,4.0,Detchd,1937.0,1.0,1.0,198.0,0,119500.0
450,50.0,6000,Reg,OldTown,1.5Fin,3,7,1948,2002,MetalSd,MetalSd,2,CBlock,2.0,No,ALQ,331.0,318.0,649.0,5,679,1183,0.0,1,1,2,2.0,6,0,,Detchd,1981.0,1.0,1.0,308.0,176,120000.0
451,70.0,5684,Reg,OldTown,1Story,6,8,1930,2005,Wd Sdng,Wd Sdng,2,BrkTil,2.0,No,Unf,0.0,813.0,813.0,5,813,813,0.0,1,0,2,3.0,5,0,,Detchd,1932.0,1.0,1.0,270.0,113,110000.0
452,62.0,70761,IR1,ClearCr,1Story,7,5,1975,1975,Plywood,Plywood,2,CBlock,3.0,Gd,ALQ,655.0,878.0,1533.0,3,1533,1533,1.0,2,0,2,3.0,5,2,3.0,Attchd,1975.0,1.0,2.0,576.0,54,280000.0
453,,9303,IR1,Timber,2Story,6,5,1996,1997,VinylSd,VinylSd,3,PConc,4.0,No,ALQ,742.0,130.0,872.0,5,888,1756,1.0,2,1,3,2.0,7,0,,Attchd,1996.0,3.0,2.0,422.0,122,204000.0
454,75.0,9000,Reg,Somerst,2Story,8,5,2008,2008,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,768.0,768.0,5,786,1590,0.0,2,1,3,3.0,6,0,,Attchd,2008.0,2.0,2.0,676.0,30,210000.0
455,63.0,9297,Reg,Mitchel,1Story,5,5,1976,1976,Plywood,Plywood,2,CBlock,2.0,No,ALQ,1606.0,122.0,1728.0,3,1728,1728,2.0,2,0,4,2.0,8,0,,Detchd,1976.0,1.0,2.0,560.0,0,188000.0
456,80.0,9600,Reg,NWAmes,1Story,7,6,1973,1973,HdBoard,HdBoard,2,CBlock,2.0,No,ALQ,916.0,326.0,1242.0,2,1242,1242,0.0,1,1,3,2.0,6,1,3.0,Attchd,1973.0,1.0,2.0,528.0,0,175500.0
457,34.0,4571,Reg,OldTown,2Story,5,5,1916,1950,AsbShng,AsbShng,2,BrkTil,2.0,No,Unf,0.0,624.0,624.0,2,624,1344,0.0,1,0,4,2.0,7,0,,Detchd,1916.0,1.0,3.0,513.0,0,98000.0
458,,53227,IR1,ClearCr,1Story,4,6,1954,1994,Plywood,Plywood,2,CBlock,3.0,Gd,BLQ,1116.0,248.0,1364.0,5,1663,1663,1.0,1,0,2,3.0,6,2,4.0,Attchd,1954.0,3.0,2.0,529.0,137,256000.0
459,,5100,Reg,OldTown,2Story,8,7,1925,1996,Stucco,Wd Shng,2,PConc,2.0,No,Unf,0.0,588.0,588.0,2,833,1666,0.0,1,0,3,3.0,7,1,4.0,Detchd,1925.0,1.0,1.0,228.0,63,161000.0
460,,7015,IR1,BrkSide,1.5Fin,5,4,1950,1950,MetalSd,MetalSd,2,CBlock,2.0,No,LwQ,185.0,524.0,709.0,3,979,1203,1.0,1,0,3,3.0,5,1,3.0,Detchd,1950.0,1.0,1.0,352.0,0,110000.0
461,75.0,8004,IR1,Somerst,2Story,8,5,2009,2009,VinylSd,VinylSd,3,PConc,3.0,No,GLQ,544.0,288.0,832.0,5,832,1935,1.0,2,1,3,2.0,8,0,,BuiltIn,2009.0,3.0,2.0,552.0,150,263435.0
462,60.0,7200,Reg,SWISU,2Story,7,9,1936,2007,Wd Sdng,Wd Sdng,3,PConc,3.0,No,ALQ,350.0,0.0,560.0,5,575,1135,1.0,1,0,3,3.0,6,0,,Detchd,1971.0,2.0,2.0,576.0,0,155000.0
463,60.0,8281,IR1,Sawyer,1Story,5,5,1965,1965,MetalSd,MetalSd,2,CBlock,2.0,No,Rec,553.0,0.0,864.0,4,864,864,0.0,1,0,3,2.0,5,1,1.0,Detchd,1965.0,1.0,1.0,360.0,0,62383.0
464,74.0,11988,IR1,Crawfor,2Story,6,7,1934,1995,Stucco,Stucco,2,CBlock,2.0,No,LwQ,326.0,389.0,715.0,2,849,1660,0.0,1,1,3,2.0,6,1,4.0,Detchd,1939.0,1.0,1.0,240.0,0,188700.0
465,60.0,8430,Reg,CollgCr,1Story,5,5,1978,1978,HdBoard,HdBoard,2,CBlock,3.0,No,Rec,616.0,424.0,1040.0,3,1040,1040,0.0,2,0,3,2.0,5,0,,,,,0.0,0.0,0,124000.0
466,,3072,Reg,Blmngtn,1Story,7,5,2004,2004,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,1375.0,1375.0,5,1414,1414,0.0,2,0,2,3.0,6,1,3.0,Attchd,2004.0,3.0,2.0,398.0,20,178740.0
467,85.0,10628,Reg,NAmes,1Story,7,5,1970,1970,Plywood,Plywood,2,CBlock,2.0,Gd,GLQ,778.0,499.0,1277.0,3,1277,1277,1.0,1,0,2,2.0,5,1,1.0,Attchd,1970.0,1.0,2.0,526.0,0,167000.0
468,79.0,9480,Reg,NAmes,2Story,5,7,1942,1995,MetalSd,MetalSd,2,CBlock,2.0,No,LwQ,386.0,342.0,728.0,5,888,1644,0.0,1,1,3,3.0,7,2,4.0,Attchd,1942.0,1.0,1.0,312.0,0,146500.0
469,98.0,11428,IR1,NridgHt,1Story,8,5,2006,2006,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,1626.0,1626.0,5,1634,1634,0.0,2,0,3,3.0,7,1,4.0,Attchd,2006.0,2.0,3.0,866.0,44,250000.0
470,76.0,9291,IR1,SawyerW,2Story,6,5,1993,1993,HdBoard,HdBoard,3,PConc,3.0,No,GLQ,426.0,406.0,832.0,5,832,1710,0.0,2,1,3,3.0,7,0,,Attchd,1993.0,2.0,2.0,506.0,70,187000.0
471,,6820,IR1,StoneBr,1Story,8,5,1985,1985,HdBoard,HdBoard,3,PConc,3.0,Av,GLQ,368.0,0.0,1488.0,3,1502,1502,1.0,1,1,1,3.0,4,0,,Attchd,1985.0,2.0,2.0,528.0,54,212000.0
472,92.0,11952,Reg,NWAmes,2Story,7,6,1977,1977,WdShing,Plywood,2,CBlock,3.0,No,Unf,0.0,808.0,808.0,3,1161,1969,0.0,2,1,3,2.0,8,1,4.0,Attchd,1977.0,2.0,2.0,534.0,0,190000.0
473,35.0,3675,Reg,Edwards,SLvl,6,5,2005,2005,VinylSd,VinylSd,2,PConc,3.0,Gd,GLQ,459.0,88.0,547.0,5,1072,1072,1.0,1,0,2,2.0,5,0,,Basment,2005.0,2.0,2.0,525.0,28,148000.0
474,110.0,14977,IR1,NridgHt,1Story,8,5,2006,2007,VinylSd,VinylSd,3,PConc,4.0,Gd,GLQ,1350.0,626.0,1976.0,5,1976,1976,1.0,2,0,2,3.0,7,1,5.0,Attchd,2006.0,2.0,3.0,908.0,63,440000.0
475,41.0,5330,Reg,StoneBr,1Story,8,5,2000,2000,CemntBd,CmentBd,3,PConc,3.0,Av,GLQ,1196.0,298.0,1494.0,5,1652,1652,1.0,2,0,2,4.0,6,0,,Attchd,2000.0,2.0,2.0,499.0,48,251000.0
476,80.0,8480,Reg,Sawyer,1Story,5,6,1963,1963,HdBoard,HdBoard,2,CBlock,2.0,No,GLQ,630.0,340.0,970.0,3,970,970,1.0,1,0,2,2.0,5,0,,Detchd,1996.0,1.0,2.0,624.0,24,132500.0
477,75.0,13125,Reg,CollgCr,1Story,6,5,1997,1998,VinylSd,VinylSd,2,PConc,3.0,Gd,GLQ,994.0,484.0,1478.0,5,1493,1493,1.0,2,0,3,3.0,7,1,3.0,Attchd,1997.0,3.0,2.0,508.0,39,208900.0
478,105.0,13693,Reg,NridgHt,2Story,9,5,2006,2006,VinylSd,VinylSd,4,PConc,3.0,Av,Unf,0.0,2153.0,2153.0,5,2069,2643,0.0,2,1,3,4.0,9,1,4.0,BuiltIn,2006.0,3.0,3.0,694.0,84,380000.0
479,79.0,10637,Reg,CollgCr,1Story,8,5,2007,2008,VinylSd,VinylSd,3,PConc,4.0,Gd,GLQ,1288.0,417.0,1705.0,5,1718,1718,1.0,2,0,3,3.0,7,1,4.0,Attchd,2007.0,2.0,3.0,826.0,44,297000.0
480,50.0,5925,Reg,OldTown,1Story,4,7,1937,2000,Stucco,Stucco,2,BrkTil,1.0,No,Rec,168.0,739.0,907.0,3,1131,1131,0.0,1,0,2,2.0,7,0,,Detchd,1995.0,1.0,2.0,672.0,72,89471.0
481,98.0,16033,IR1,NridgHt,1Story,9,5,2004,2005,VinylSd,VinylSd,3,PConc,4.0,Gd,GLQ,1261.0,572.0,1833.0,5,1850,1850,1.0,2,0,3,3.0,8,1,4.0,Attchd,2004.0,3.0,3.0,772.0,112,326000.0
482,72.0,11846,IR1,NridgHt,1Story,9,5,2003,2004,VinylSd,VinylSd,3,PConc,4.0,Gd,GLQ,1567.0,225.0,1792.0,5,1792,1792,1.0,2,0,2,4.0,6,1,4.0,Attchd,2003.0,3.0,3.0,874.0,49,374000.0
483,50.0,2500,Reg,OldTown,2Story,7,8,1915,2005,Stucco,Stucco,3,PConc,2.0,No,ALQ,299.0,611.0,910.0,5,916,1826,1.0,1,1,4,4.0,7,1,4.0,Attchd,1915.0,1.0,1.0,164.0,0,155000.0
484,32.0,4500,Reg,Mitchel,1Story,6,5,1998,1998,VinylSd,VinylSd,2,PConc,4.0,No,GLQ,897.0,319.0,1216.0,5,1216,1216,1.0,2,0,2,2.0,5,0,,Attchd,1998.0,1.0,2.0,402.0,125,164000.0
485,,7758,IR1,Sawyer,1Story,5,7,1962,2001,HdBoard,Plywood,2,CBlock,2.0,No,ALQ,588.0,411.0,999.0,4,999,999,1.0,1,0,3,3.0,6,0,,Detchd,1963.0,1.0,1.0,264.0,132,132500.0
486,80.0,9600,Reg,NAmes,1Story,5,7,1950,2007,MetalSd,MetalSd,3,CBlock,2.0,No,ALQ,607.0,506.0,1113.0,4,1113,1113,0.0,1,0,3,3.0,5,1,4.0,Attchd,1950.0,1.0,1.0,264.0,80,147000.0
487,79.0,10289,Reg,NAmes,1Story,5,7,1965,1965,MetalSd,MetalSd,2,CBlock,2.0,No,ALQ,836.0,237.0,1073.0,3,1073,1073,1.0,1,1,3,2.0,6,0,,Attchd,1965.0,2.0,2.0,515.0,0,156000.0
488,70.0,12243,IR1,NWAmes,1Story,5,6,1971,1971,Plywood,Plywood,2,CBlock,3.0,Av,ALQ,998.0,486.0,1484.0,4,1484,1484,0.0,2,0,3,2.0,7,1,3.0,Attchd,1971.0,1.0,2.0,487.0,0,175000.0
489,60.0,10800,Reg,OldTown,1.5Fin,5,4,1900,1970,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,BLQ,664.0,290.0,954.0,3,1766,2414,0.0,2,0,3,2.0,10,1,4.0,Attchd,1970.0,1.0,2.0,520.0,0,160000.0
490,21.0,1526,Reg,MeadowV,SFoyer,4,8,1970,2002,CemntBd,CmentBd,2,CBlock,3.0,Av,GLQ,515.0,115.0,630.0,3,630,630,1.0,1,0,1,3.0,3,0,,Attchd,1970.0,1.0,1.0,286.0,0,86000.0
491,,2665,Reg,MeadowV,2Story,5,6,1976,1976,CemntBd,CmentBd,2,PConc,3.0,Mn,Unf,0.0,264.0,264.0,3,616,1304,0.0,1,1,3,2.0,4,1,4.0,BuiltIn,1976.0,3.0,1.0,336.0,24,115000.0
492,79.0,9490,Reg,NAmes,1.5Fin,6,7,1941,1950,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,BLQ,403.0,238.0,806.0,3,958,1578,1.0,1,0,3,1.0,5,2,3.0,Attchd,1941.0,1.0,1.0,240.0,0,133000.0
493,105.0,15578,IR1,Gilbert,2Story,6,5,2006,2006,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,728.0,728.0,4,728,1456,0.0,2,1,3,2.0,8,0,,Attchd,2006.0,2.0,2.0,429.0,0,172785.0
494,70.0,7931,Reg,NAmes,1Story,5,6,1960,1960,BrkFace,Wd Sdng,2,CBlock,2.0,No,BLQ,374.0,363.0,1269.0,3,1269,1269,0.0,1,1,3,2.0,6,1,2.0,Detchd,1964.0,1.0,1.0,308.0,0,155000.0
495,50.0,5784,Reg,OldTown,1Story,5,8,1938,1996,MetalSd,MetalSd,2,BrkTil,1.0,No,Unf,0.0,190.0,190.0,4,886,886,0.0,1,0,2,2.0,4,0,,Attchd,1938.0,1.0,1.0,273.0,20,91300.0
496,60.0,7879,Reg,IDOTRR,1Story,4,5,1920,1950,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,Rec,495.0,225.0,720.0,3,720,720,0.0,1,0,2,2.0,4,0,,,,,0.0,0.0,523,34900.0
497,,12692,IR1,NoRidge,1Story,8,5,1992,1993,BrkFace,BrkFace,3,PConc,3.0,No,GLQ,1231.0,1969.0,3200.0,5,3228,3228,1.0,3,0,4,3.0,10,1,4.0,Attchd,1992.0,2.0,2.0,546.0,75,430000.0
498,60.0,9120,Reg,BrkSide,1.5Fin,7,6,1925,1950,Wd Sdng,Wd Sdng,2,PConc,2.0,No,Rec,329.0,697.0,1026.0,5,1133,1820,1.0,2,0,4,2.0,8,0,,Detchd,1925.0,1.0,1.0,240.0,100,184000.0
499,65.0,7800,Reg,Sawyer,1Story,5,7,1967,2004,HdBoard,HdBoard,2,PConc,2.0,No,ALQ,450.0,414.0,864.0,5,899,899,0.0,1,0,3,3.0,5,0,,Attchd,1967.0,3.0,1.0,288.0,0,130000.0
500,70.0,7535,IR1,NAmes,1Story,5,7,1958,1985,MetalSd,MetalSd,2,CBlock,2.0,No,BLQ,111.0,522.0,912.0,2,912,912,0.0,1,0,2,2.0,5,0,,Attchd,1958.0,3.0,1.0,297.0,285,120000.0
501,21.0,1890,Reg,BrDale,2Story,6,5,1973,1973,HdBoard,HdBoard,2,CBlock,2.0,No,BLQ,356.0,316.0,672.0,3,672,1218,0.0,1,1,3,2.0,7,0,,Detchd,1973.0,1.0,1.0,264.0,28,113000.0
502,75.0,9803,Reg,Somerst,2Story,7,5,2005,2005,VinylSd,VinylSd,3,PConc,3.0,No,GLQ,400.0,466.0,866.0,4,866,1768,0.0,2,1,3,3.0,7,0,,Attchd,2005.0,2.0,2.0,603.0,108,226700.0
503,70.0,9170,Reg,Edwards,1Story,5,7,1965,1965,MetalSd,MetalSd,2,CBlock,2.0,No,ALQ,698.0,420.0,1214.0,5,1214,1214,1.0,1,0,2,2.0,6,0,,Detchd,1965.0,1.0,2.0,461.0,0,140000.0
504,100.0,15602,IR1,Crawfor,1Story,7,8,1959,1997,BrkFace,Wd Sdng,2,CBlock,2.0,No,ALQ,1247.0,254.0,1501.0,3,1801,1801,1.0,2,0,1,2.0,6,2,3.0,Attchd,1959.0,3.0,2.0,484.0,54,289000.0
505,24.0,2308,Reg,NPkVill,2Story,6,5,1974,1974,Plywood,Brk Cmn,2,CBlock,2.0,No,ALQ,257.0,103.0,855.0,3,855,1322,0.0,2,1,3,2.0,6,1,2.0,Attchd,1974.0,1.0,2.0,440.0,0,147000.0
506,60.0,7596,Reg,OldTown,2Story,5,5,1952,1952,Wd Sdng,Wd Sdng,2,CBlock,2.0,No,Unf,0.0,960.0,960.0,4,960,1960,0.0,2,0,4,2.0,10,0,,Detchd,1952.0,1.0,2.0,400.0,0,124500.0
507,80.0,9554,IR1,SawyerW,2Story,8,5,1993,1994,VinylSd,VinylSd,3,PConc,3.0,No,GLQ,380.0,397.0,777.0,5,1065,1911,0.0,2,1,3,3.0,8,1,3.0,Attchd,1993.0,2.0,2.0,471.0,81,215000.0
508,75.0,7862,IR1,Somerst,1Story,6,5,2009,2009,VinylSd,VinylSd,3,PConc,3.0,No,GLQ,27.0,1191.0,1218.0,5,1218,1218,0.0,2,0,2,3.0,4,0,,Attchd,2009.0,3.0,2.0,676.0,102,208300.0
509,60.0,9600,Reg,OldTown,2Story,7,9,1928,2005,MetalSd,MetalSd,2,BrkTil,2.0,No,Rec,141.0,548.0,689.0,5,689,1378,0.0,2,0,3,3.0,7,1,4.0,Detchd,1928.0,1.0,2.0,360.0,0,161000.0
510,80.0,9600,Reg,NAmes,1Story,5,6,1959,1959,MetalSd,MetalSd,2,CBlock,2.0,No,ALQ,991.0,50.0,1041.0,5,1041,1041,1.0,1,0,3,2.0,6,0,,Attchd,1959.0,2.0,1.0,270.0,88,124500.0
511,75.0,14559,Reg,NAmes,1Story,5,7,1951,2000,Wd Sdng,Wd Sdng,3,CBlock,2.0,No,BLQ,650.0,178.0,1008.0,5,1363,1363,1.0,1,0,2,2.0,6,2,3.0,CarPort,1951.0,1.0,1.0,288.0,42,164900.0
512,40.0,6792,IR1,NridgHt,1Story,7,5,2005,2006,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,1368.0,1368.0,5,1368,1368,0.0,2,0,2,3.0,6,1,4.0,Attchd,2005.0,2.0,2.0,474.0,35,202665.0
513,70.0,9100,Reg,NAmes,1Story,5,5,1958,1958,VinylSd,VinylSd,2,CBlock,2.0,No,BLQ,521.0,169.0,864.0,3,864,864,1.0,1,0,3,2.0,5,0,,Detchd,1964.0,1.0,2.0,624.0,0,129900.0
514,71.0,9187,Reg,Mitchel,1Story,6,5,1983,1983,VinylSd,VinylSd,2,PConc,2.0,No,ALQ,336.0,748.0,1084.0,3,1080,1080,0.0,1,1,3,2.0,5,0,,Attchd,1983.0,1.0,2.0,484.0,0,134000.0
515,55.0,10594,Reg,Crawfor,1.5Unf,5,5,1926,1950,Wd Sdng,Wd Sdng,2,BrkTil,2.0,No,Unf,0.0,768.0,768.0,2,789,789,0.0,1,0,2,2.0,5,0,,Detchd,1926.0,1.0,1.0,200.0,0,96500.0
516,94.0,12220,Reg,NridgHt,1Story,10,5,2009,2009,CemntBd,CmentBd,4,CBlock,4.0,No,GLQ,1436.0,570.0,2006.0,5,2020,2020,1.0,2,1,3,4.0,9,1,4.0,Attchd,2009.0,3.0,3.0,900.0,54,402861.0
517,,10448,IR1,NWAmes,SLvl,6,6,1972,1972,HdBoard,HdBoard,2,CBlock,2.0,No,Unf,0.0,689.0,689.0,3,1378,2119,0.0,2,1,3,2.0,7,1,3.0,Attchd,1972.0,2.0,2.0,583.0,104,158000.0
518,79.0,10208,IR1,NoRidge,2Story,7,5,1996,1997,VinylSd,VinylSd,3,PConc,3.0,No,Unf,0.0,1264.0,1264.0,5,1277,2344,0.0,2,1,3,3.0,7,1,3.0,Attchd,1996.0,2.0,3.0,889.0,0,265000.0
519,,9531,IR1,CollgCr,2Story,6,5,1998,1998,VinylSd,VinylSd,2,PConc,3.0,Mn,GLQ,706.0,88.0,794.0,5,882,1796,1.0,2,1,3,2.0,7,0,,Attchd,1998.0,2.0,2.0,546.0,36,211000.0
520,53.0,10918,Reg,Crawfor,2Story,7,9,1926,2004,MetalSd,MetalSd,3,BrkTil,3.0,No,Unf,0.0,1276.0,1276.0,5,1276,2080,0.0,1,1,3,3.0,9,2,4.0,Detchd,1926.0,1.0,1.0,282.0,0,234000.0
521,60.0,10800,Reg,OldTown,2Story,4,7,1900,2000,MetalSd,MetalSd,2,BrkTil,,,,0.0,0.0,0.0,3,694,1294,0.0,2,0,3,2.0,7,0,,,,,0.0,0.0,114,106250.0
522,90.0,11988,IR1,NAmes,1Story,6,6,1957,1957,VinylSd,VinylSd,2,CBlock,2.0,No,Rec,777.0,467.0,1244.0,5,1244,1244,0.0,1,1,3,2.0,6,2,4.0,Attchd,1957.0,1.0,1.0,336.0,40,150000.0
523,50.0,5000,Reg,BrkSide,1.5Fin,6,7,1947,1950,CemntBd,CmentBd,2,CBlock,2.0,No,ALQ,399.0,605.0,1004.0,5,1004,1664,0.0,2,0,3,2.0,7,2,4.0,Detchd,1950.0,1.0,2.0,420.0,24,159000.0
524,130.0,40094,IR1,Edwards,2Story,10,5,2007,2008,CemntBd,CmentBd,4,PConc,4.0,Gd,GLQ,2260.0,878.0,3138.0,5,3138,4676,1.0,3,1,3,4.0,11,1,4.0,BuiltIn,2007.0,3.0,3.0,884.0,406,184750.0
